shop_id,name,genre,budget_min,budget_max,people_tags,mood_tags,round_tags,atmosphere_tags,welcome_tags,drink_tags,food_tags,style_tags,seat_tags,size_tag,owner_comment,public_summary,comment_type,owner_comment_tags,pon_comment,mon_open,mon_close,tue_open,tue_close,wed_open,wed_close,thu_open,thu_close,fri_open,fri_close,sat_open,sat_close,sun_open,sun_close,hours_text,popular_menu,shop_size_text,image_url,map_url,official_url,menu_url,instagram_url,reservation_url,event_benefit,walk_minutes,area,event_zone,survey_confirmed,data_status,hours_status,source_status,data_note,last_checked,color_a,color_b
shop01,餃子とお酒 ライフイズグッド,中華バル・餃子,2000,2999,"solo,pair,small_group","lively,calm,hungry,second_round","first_round,second_round,closing","lively,calm,casual,quiet_drink","solo_welcome,pair_welcome,light_drink,second_round_welcome,closing,full_meal,first_visit","beer,sour,highball","gyoza,noodles,chinese,full_meal","group_fun,slow_talk,quick_finish,solo_time",counter,small_shop,ひとり飲み、2人でゆっくり、軽い一杯、締めまで幅広く歓迎。料理もしっかり楽しんでほしいお店。,,owner,"solo_welcome,pair_welcome,light_drink,closing,full_meal,quiet_drink",餃子と担々麺で締めたいならここ。酒だけで終わらせる気、ないだろ。,,,17:30,22:00,17:30,22:00,17:30,22:00,17:30,22:00,17:30,22:00,,,担々麺と餃子が看板の中華バル。松戸駅西口徒歩約7分。火～土・祝前日 11:30～14:00／17:30～22:00、日 11:30～14:00、月休。,焼き餃子、担々麺、シン・ニラタマ、麻婆豆腐、季節の春巻きなど,カウンター7席（公開情報）,,https://www.google.com/maps/search/?api=1&query=%E9%A4%83%E5%AD%90%E3%81%A8%E3%81%8A%E9%85%92%20%E3%83%A9%E3%82%A4%E3%83%95%E3%82%A4%E3%82%BA%E3%82%B0%E3%83%83%E3%83%89%20%E6%9D%BE%E6%88%B8%20%E6%A0%B9%E6%9C%AC,https://san-tatsu.jp/spots/387368/,,,,お酒に合うちょっとしたオツマミサービス,7,松戸駅西口,matsudo_station,true,survey_confirmed,confirmed,確認済,確認できたURL 4件。店舗名・住所・電話番号が一致。公式サイト・公式SNSは公開検索で特定できず。,2026-07-17,#8F3E2F,#E09B3D
shop02,Beer OWLE 松戸店,クラフトビール・ビアバー,1500,4000,"solo,pair,small_group","lively,curious,second_round","second_round,third_round,closing","lively,stylish,hidden,casual,first_visit,talk_owner,quiet_drink","solo_welcome,group_welcome,light_drink,second_round_welcome,closing,talk_owner,first_visit","beer,craft_beer",snacks,"talk_owner,solo_time,new_encounter,quick_finish","counter,table",small_shop,好奇心を満たしたい方、新しい趣味やお酒好きな仲間を見つけたい方を歓迎。全国屈指のセレクトと、自社輸入のカナダビールが特徴。,,owner,"curious,talk_owner,first_visit,craft_beer,solo_welcome",クラフトビール沼に片足突っ込みたいならここ。激レアなカナダビール、逃すなよ。,15:00,23:00,15:00,23:00,,,15:00,23:00,15:00,23:00,15:00,23:00,15:00,23:00,国内外のクラフトビールを扱うセレクトショップ兼ビアバー。松戸市本町7-2（移転後）。15:00～23:00、水休。,カナダ直輸入を中心としたクラフトビール、国内外の缶・瓶ビール、量り売り／タップビール,席数・店舗面積は公開情報で確認できず（要店舗確認）,,https://www.google.com/maps/search/?api=1&query=Beer%20OWLE%20%E6%9D%BE%E6%88%B8%E5%BA%97%20%E6%9C%AC%E7%94%BA7-2,https://beerowle.com/,https://beerowle.com/collections/all,https://www.instagram.com/beer_owle,,指定の自社輸入のカナダビール-¥100引きor回復薬(市販のミネラルウォーター)プレゼント！,,松戸駅西口,matsudo_station,true,survey_confirmed,confirmed,確認済,確認できたURL 10件。移転後住所（松戸市本町7-2）のページを採用。SNS・LINE・YouTubeはBeer OWLE共通公式。,2026-07-17,#284D7D,#F0A51B
shop03,クシクモ,焼き鳥・ジビエ,4000,5999,"solo,pair,small_group","calm,romantic,hungry,second_round","first_round,second_round,closing","calm,stylish,hidden,quiet_drink","solo_welcome,pair_welcome,romantic,full_meal,second_round_welcome,closing,first_visit","beer,craft_beer,sake","yakitori,game_meat,meat,full_meal","slow_talk,food_pairing,talk_owner,quick_finish","counter,table",small_shop,食に興味があり、お酒と料理を合わせるのが好きな方へ。落ち着いた空間で焼き鳥とジビエを楽しめる。,,owner,"food_pairing,calm,romantic,full_meal,pair_welcome",焼き鳥と酒をちゃんと合わせたいならここ。雑に飲む店じゃないぞ。,17:00,24:00,17:00,24:00,17:00,24:00,17:00,24:00,17:00,24:00,17:00,24:00,,,焼き鳥・ジビエとビールを楽しめるバー／居酒屋。松戸駅徒歩約5分。月～土・祝 17:00～24:00（料理LO23:00、ドリンクLO23:30）、日休。,焼き鳥（350円～）、おまかせ串、ジビエ料理、ピルスナーウルケル,12席（カウンター8席＋テーブル1卓）,,https://www.google.com/maps/search/?api=1&query=%E3%82%AF%E3%82%B7%E3%82%AF%E3%83%A2%20%E6%9D%BE%E6%88%B8%20%E6%9C%AC%E7%94%BA14-20,,https://www.hotpepper.jp/strJ004402405/food/,https://www.instagram.com/kushikumo_matsudo/,https://www.hotpepper.jp/strJ004402405/yoyaku/hpds/,未確認,5,松戸駅西口,matsudo_station,true,survey_confirmed,confirmed,確認済,確認できたURL 7件。住所・電話番号・Instagram・予約ページの一致を確認。,2026-07-17,#382D32,#B36B37
shop04,YAGIRIYA,クラフトビール・アメリカン,2000,2999,"solo,pair,small_group,medium_group","calm,hungry,second_round,curious","first_round,second_round,closing","calm,stylish,casual,talk_owner,quiet_drink","solo_welcome,pair_welcome,group_welcome,full_meal,light_drink,second_round_welcome,closing,first_visit","beer,craft_beer","american,meat,sandwich,full_meal","slow_talk,food_pairing,new_encounter","counter,table,terrace",medium_shop,一人でも複数人でも、雰囲気を楽しめる方なら歓迎。軽い一杯、食事、飲み会、新しい出会いまで楽しめる場所。,,owner,"solo_welcome,group_welcome,new_encounter,full_meal,craft_beer",矢切まで行くなら、アメリカンとクラフトビール。距離を言い訳にするな。,11:30,24:00,11:30,24:00,11:30,24:00,11:30,24:00,11:30,24:00,11:30,24:00,11:30,24:00,クラフトビールとアメリカン料理のカフェ／パブ。矢切駅前。11:30～24:00（ドリンクLO23:30／営業区分・定休は公式SNS要確認）。,クラフトビール10種以上、プルドポークチーズサンド、塊プルドポークなど,約19坪。立ち飲み約10人、テーブル16席、テラス2席,,https://www.google.com/maps/search/?api=1&query=YAGIRIYA%20%E7%9F%A2%E5%88%87%20%E6%9D%BE%E6%88%B8,https://matsudo.keizai.biz/headline/1140/,,https://www.instagram.com/yagiriya_/,,ミニかき氷プレゼント,,矢切駅前,yagiri,true,survey_confirmed,needs_confirmation,確認済,確認できたURL 5件。矢切駅前の店舗として一致。公式発信はInstagram中心。,2026-07-17,#325B5A,#D4782D
shop05,Craftbeer & Wine PeeTa,クラフトビール・ワイン,3000,4999,"solo,pair,small_group","lively,stylish,second_round,curious","second_round,third_round,closing","stylish,casual,first_visit,talk_owner","solo_welcome,light_drink,second_round_welcome,closing,talk_owner,first_visit","beer,craft_beer,wine","snacks,pizza,pasta","group_fun,talk_owner,solo_time,new_encounter,quick_finish","counter,standing,table",small_shop,一人でも入りやすく、クラフトビールやワインをきっかけにスタッフやほかのお客さんとの交流も楽しみやすい。,,owner,"solo_welcome,talk_owner,first_visit,craft_beer,wine,new_encounter",一人でもふらっと入れる。ビールかワインか決められないやつにも向いてる。,17:00,23:00,,,17:00,23:00,17:00,23:00,17:00,23:00,15:00,23:00,15:00,23:00,クラフトビール8タップとワイン、軽食を楽しめるビアバー。松戸駅徒歩約5分。月・水～金 17:00～23:00、土日祝 15:00～23:00（LO22:30）、火休。,クラフトビール8タップ、ワイン、牛タンスモーク、ベーコン入りポテトサラダ、ピザ・パスタ,立ち飲み中心。中央テーブル＋壁沿いカウンター（一部椅子席／正確な席数は要確認）,,https://www.google.com/maps/search/?api=1&query=Craftbeer%20%26%20Wine%20PeeTa%20%E6%9D%BE%E6%88%B8%20%E6%A0%B9%E6%9C%AC3-12,https://matsudo-tsushin.com/45292.html,,https://www.instagram.com/peeta_beer_food/,,未確認,5,松戸駅西口,matsudo_station,true,survey_confirmed,confirmed,確認済,確認できたURL 5件。住所と公式Instagramの一致を確認。独立した公式サイトは見つからず。,2026-07-17,#6C3657,#D69A43
shop06,Roam. / tiny kitchen and counter,異国料理・カフェバー,3000,4000,"solo,pair","calm,romantic,hungry,second_round,curious","first_round,second_round,closing","calm,stylish,homey,hidden,talk_owner,quiet_drink","solo_welcome,pair_welcome,romantic,full_meal,light_drink,second_round_welcome,closing,talk_owner,first_visit","beer,wine,coffee","international,curry,snacks,dessert,full_meal","slow_talk,talk_owner,solo_time,new_encounter,quick_finish",counter,small_shop,入口で少し勇気がいる店構えだが、初来店も歓迎。異国料理やカルチャー、世界の国々に興味がある人に刺さりやすい小さなお店。,,owner,"first_visit,hidden,curious,talk_owner,solo_welcome,romantic",入口でひるむな。入れば異国料理と会話が待ってる。,17:00,23:00,,,,,,,17:00,23:00,17:00,23:00,17:00,23:00,異国料理、コーヒー、お酒を楽しめる小さなカフェ／ダイニングバー。松戸駅徒歩約5分。月・金～日・祝 12:00～15:00／17:00～23:00、火～木休。,ランチプレート、ポークビンダルー、手作りおつまみ、コーヒー、パウンドケーキ,約4坪・7席（カウンター中心）,,https://www.google.com/maps/search/?api=1&query=Roam.%20tiny%20kitchen%20and%20counter%20%E6%9D%BE%E6%88%B81344-16,,https://www.hotpepper.jp/strJ004576711/food/,https://www.instagram.com/roam_matsudo/,https://www.hotpepper.jp/strJ004576711/yoyaku/hpds/,おつまみサービス,5,松戸駅西口,matsudo_station,true,survey_confirmed,confirmed,要確認,確認できたURL 7件。店舗住所は一致。Instagram・FacebookはTiny kitchen and counter名義の共用／旧アカウントの可能性があるため店舗確認推奨。,2026-07-17,#4A594D,#B47D5B
shop07,松戸ビール＆タップルーム,クラフトビール・タップルーム,1500,3000,"solo,pair,small_group","calm,lively,curious,second_round","first_round,second_round,third_round","calm,casual,first_visit,quiet_drink","solo_welcome,pair_welcome,full_meal,closing,first_visit","beer,craft_beer,local_beer","snacks,full_meal","group_fun,food_pairing,quiet_drink,quick_finish","counter,table",small_shop,出来たての松戸産クラフトビールと食事を気軽に楽しみたい方を歓迎。ひとりや2人、初めての来店、締めの一軒にも使いやすい店。,松戸産クラフトビールを醸造・提供する小規模タップルーム。地元らしさとビールの飲み比べを楽しみやすい。,owner,"craft_beer,local_beer,calm,quiet_drink,solo_welcome,pair_welcome,full_meal,closing,first_visit",松戸で醸す出来たてビールと季節感のある手作りフード。地元で飲むなら、ここを外すな。,,,15:00,22:00,15:00,22:00,15:00,22:00,15:00,22:00,15:00,22:00,15:00,22:00,松戸産クラフトビールを醸造・提供するタップルーム。松戸駅東口徒歩約3分。15:00～22:00、月休。,松戸ペールエール、IPA、ベルジャンホワイト、地元農産物を使った季節限定ビール、おつまみ,小規模タップルーム。10名以上で貸切可（正確な席数は要確認）,,https://www.google.com/maps/search/?api=1&query=%E6%9D%BE%E6%88%B8%E3%83%93%E3%83%BC%E3%83%AB%EF%BC%86%E3%82%BF%E3%83%83%E3%83%97%E3%83%AB%E3%83%BC%E3%83%A0%20%E6%9D%BE%E6%88%B81151-2,https://matsudo.beer/,https://matsudo.beer/menu,https://www.instagram.com/matsudo.beer/,,カップ持参でミニよだれ豆腐サービス,3,松戸駅東口,matsudo_station,true,survey_confirmed,confirmed,確認済,確認できたURL 9件。公式サイト記載の住所・電話番号と各掲載ページが一致。,2026-07-17,#2C665D,#D49A37
shop08,中華厨房 ゆうえん 松戸駅西口店,中華料理,1000,1999,"solo,pair,small_group,medium_group","hungry,lively,closing","first_round,second_round,closing","casual,traditional,first_visit","solo_welcome,pair_welcome,group_welcome,full_meal,closing,quick_finish,first_visit","beer,sour,highball","chinese,gyoza,noodles,rice,full_meal","group_fun,quick_finish",table,medium_shop,,松戸駅西口すぐ。低予算で中華の麺・飯・一品料理まで選びやすく、食事重視や締めに使いやすい。,public_summary,,腹減ってて予算も抑えたいなら中華。迷ってる暇ない。,11:00,23:30,11:00,23:30,11:00,23:30,11:00,23:30,11:00,23:30,11:00,23:30,11:00,23:30,前菜から麺・飯・一品料理まで揃う中華料理店。松戸駅西口すぐ。11:00～23:30（LO23:00）、無休。,餃子、青椒肉絲、炒飯、タンメン、麻婆豆腐定食、日替わり定食,席数・店舗面積は公開情報で確認できず（要店舗確認）,,https://www.google.com/maps/search/?api=1&query=%E4%B8%AD%E8%8F%AF%E5%8E%A8%E6%88%BF%20%E3%82%86%E3%81%86%E3%81%88%E3%82%93%20%E6%9D%BE%E6%88%B8%E9%A7%85%E8%A5%BF%E5%8F%A3%E5%BA%97,https://www.matsuoh-foods.co.jp/yuen/matsudoekinishiguchi.html,,,,未確認,1,松戸駅西口,matsudo_station,false,public_info_provisional,confirmed,確認済,確認できたURL 5件。運営会社の店舗ページで松戸駅西口店を確認。,2026-07-17,#A33D2E,#E0A733
shop09,テイル オー コック,バー・カクテル,3000,3999,"solo,pair,small_group","calm,romantic,second_round,late_round","second_round,third_round,late_round","calm,stylish,hidden,quiet_drink","solo_welcome,pair_welcome,romantic,second_round_welcome,late_round_welcome,quiet_drink","cocktail,whisky,brandy",snacks,"slow_talk,quiet_drink","counter,semi_private",small_shop,,松戸駅東口すぐの10席のバー。オリジナルカクテル、ウイスキー、少人数での静かな会話に向く。,public_summary,,2人で雰囲気出したい？はいはい、駅前のバーな。,,,18:00,27:00,18:00,27:00,18:00,27:00,18:00,27:00,18:00,27:00,18:00,27:00,オリジナルカクテルやウイスキーを楽しめる駅前バー。松戸駅東口すぐ。18:00～深夜（翌3:00まで入店可）、月休※月祝は営業。,オリジナルカクテル、ショート／ロングカクテル、ウイスキー、ブランデー,10席（カウンター7席＋3人用個室）,,https://www.google.com/maps/search/?api=1&query=%E3%83%86%E3%82%A4%E3%83%AB%20%E3%82%AA%E3%83%BC%20%E3%82%B3%E3%83%83%E3%82%AF%20%E6%9D%BE%E6%88%B81228-1,https://sites.google.com/site/bartailocock2/,,,,未確認,1,松戸駅東口,matsudo_station,false,public_info_provisional,confirmed_with_exception,確認済,確認できたURL 5件。住所・電話番号・公式サイト・掲載ページが一致。,2026-07-17,#26334B,#7D4565
shop10,G'ROOM（グリーンルーム）プラーレ松戸店,ハワイアンダイニング,3000,4000,"pair,small_group,medium_group,large_group","lively,hungry,romantic","first_round,second_round","lively,calm,stylish,casual,open_air,first_visit,group_fun","solo_welcome,pair_welcome,group_welcome,large_group_welcome,romantic,full_meal,light_drink,second_round_welcome,closing,first_visit","beer,craft_beer,cocktail","hawaiian,meat,seafood,full_meal","group_fun,slow_talk,food_pairing,solo_time,quick_finish","table,terrace",large_shop,屋上庭園を望む開放的なオールデイダイニング。子連れや一人の気分転換から、家族・友人との食事、大人数のパーティーまで、料理と空間の両方を楽しんでほしいお店。,80席＋テラス14席の大型店。ハワイアン料理、コース、グループ利用や人数の多い集まりに対応しやすい。,owner,"open_air,group_fun,slow_talk,full_meal,solo_welcome,pair_welcome,large_group_welcome,first_visit",子連れでも大人数でも使いやすい。屋上庭園まである。人数多いなら悩むな。,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,ハワイアンを中心としたダイニング＆カフェ。プラーレ松戸RF。毎日11:00～22:00（料理LO21:00、ドリンクLO21:15）、定休なし。,プレミアム・ロコモコ、ガーリックシュリンプ、クラフトビール（松戸ビール含む）、各種コース,店内80席＋テラス14席（最大120人）,,https://www.google.com/maps/search/?api=1&query=G'ROOM%20%E3%83%97%E3%83%A9%E3%83%BC%E3%83%AC%E6%9D%BE%E6%88%B8%E5%BA%97,https://greenroom.owst.jp/,https://greenroom.owst.jp/menu,,https://www.hotpepper.jp/strJ001201601/yoyaku/hpds/?ROUTE_KBN=20,未確認,2,松戸駅東口・プラーレ松戸,matsudo_station,true,survey_confirmed,confirmed,確認済,確認できたURL 7件。公式サイト・プラーレ松戸店舗案内・予約ページで一致を確認。,2026-07-17,#246C6A,#E59A42
